,City,Latitude,Temperature (F),Humidity (%),Windspeed (mph),Cloudiness (%)
124,Talnakh,69.4865,14.76,94,6.96,70
125,Kadhan,24.481,83.01,75,15.88,91
126,Yekaterinovka,52.0508,65.61,72,8.93,100
127,Cabo San Lucas,22.8909,92.32,24,12.66,1
128,Bethel,41.3712,73.4,23,3.44,20
129,Vostok,46.4856,50.49,49,5.75,100
130,Musoma,-1.5,73.4,73,5.32,75
131,Avarua,-21.2078,71.6,100,1.14,100
132,Souillac,-20.5167,77.0,73,11.5,40
133,Seabra,-12.4186,82.4,47,6.91,0
134,Nome,64.5011,53.01,47,10.36,1
135,Sabang,5.8933,83.41,73,4.88,76
136,Vardø,70.3705,35.6,75,17.27,75
137,Kokorevka,52.5872,56.12,96,5.35,60
138,Vanavara,60.34,41.32,89,11.45,100
139,Gigmoto,13.7796,80.47,88,8.9,82
140,Hasaki,35.7333,61.99,88,3.44,20
141,Okhotsk,59.3833,34.18,85,4.83,100
142,Juneau,58.3019,38.88,81,14.97,90
143,Toora-Khem,52.4675,44.37,70,7.47,100
144,Atambua,-9.1061,69.96,84,5.59,100
145,Mossamedes,-15.1961,77.67,67,6.78,0
146,Cururupu,-1.8283,78.75,89,4.47,100
147,Bukama,-9.2,70.39,70,2.17,5
148,Carnarvon,-24.8667,64.4,88,5.75,2
149,New Norfolk,-42.7826,36.36,78,4.0,86
150,Faanui,-16.4833,81.48,77,18.72,100
151,Chapais,49.7834,60.8,20,4.61,1
152,Jati,24.3539,84.0,70,13.11,13
153,Khovd,48.0056,49.82,52,2.8,100
154,Haines Junction,60.7522,46.4,49,9.22,100
155,Iracoubo,5.4802,79.12,86,9.24,99
156,Novopokrovka,49.8425,68.0,56,6.71,0
157,Raudeberg,61.9875,52.18,71,5.75,0
158,Eyemouth,55.8713,50.47,80,3.0,91
159,Itoman,26.1247,78.8,94,12.66,20
160,Colina,-20.7133,78.39,41,4.79,100
161,Saskylakh,71.9167,28.72,97,14.27,100
162,Klaksvík,62.2266,41.0,87,9.22,90
163,San Rafael del Sur,11.8485,89.6,51,13.8,40
164,Cotonou,6.3654,84.2,79,10.36,40
165,Maceió,-9.6658,82.4,74,11.5,75
166,São João da Barra,-21.6403,77.0,61,11.5,75
167,Nanortalik,60.1432,41.04,67,8.97,100
168,Faya,18.3851,68.0,49,5.75,40
169,Shelburne,44.0787,68.31,21,10.36,40
170,Hong Kong,22.2855,81.34,81,1.01,1
171,Longyearbyen,78.2186,26.6,68,13.8,75
172,French Harbor,16.35,86.0,79,17.27,20
173,Hervey Bay,-25.2986,55.85,67,4.61,63
174,Bluff,-46.6,48.0,86,18.99,100
175,Namatanai,-3.6667,79.97,80,8.46,8
176,Porangatu,-13.4408,87.84,33,1.12,11
177,Palmer,42.1584,73.06,23,3.44,75
178,Umm Kaddadah,13.6017,88.03,10,11.61,6
179,Torbay,47.6666,46.4,61,9.22,90
180,Alofi,-19.0595,75.2,94,5.75,100
181,Lander,42.833,60.33,44,8.25,1
182,Adré,13.4667,85.69,28,6.02,28
183,Estelle,29.8458,76.23,53,11.5,40
184,Hołoby,51.0865,57.99,87,7.92,100
185,Sambava,-14.2667,75.65,83,12.5,89
186,Geraldton,-28.7667,71.6,43,18.41,96
187,Tura,25.5198,69.55,93,6.31,1
188,Ures,29.4333,97.05,18,8.01,5
189,Ancud,-41.8697,53.06,82,10.36,40
190,Timrå,62.487,45.3,81,4.61,75
191,Shimoda,34.6667,63.1,86,2.35,100
192,Khor,47.8861,58.55,47,13.2,100
193,Akdepe,42.0551,73.4,31,11.5,0
194,Nynäshamn,58.9034,51.58,82,8.05,90
195,Ubari,26.5921,93.42,12,16.51,7
196,Hofn,64.2539,41.0,48,16.11,75
197,Laas,46.6166,51.53,71,4.61,20
198,Constitución,-35.3333,62.53,63,12.48,100
199,Lebu,-37.6167,59.09,75,4.61,100
200,Los Llanos de Aridane,28.6585,68.16,68,14.97,20
201,Egvekinot,66.3167,30.13,88,7.92,100
202,Vila Franca do Campo,37.7167,66.2,94,11.5,40
203,Gouré,13.9835,97.0,26,10.42,28
204,Rojhan,28.6868,86.74,33,18.01,0
205,Kanashevo,55.2169,69.8,43,3.29,0
206,Valparaíso,-33.0393,62.82,63,4.61,15
207,Kralendijk,12.15,86.0,66,19.57,75
208,North Bend,43.4065,51.82,93,16.11,90
209,Tubualá,9.5167,80.26,74,10.36,40
210,Wote,-1.7808,66.27,80,2.48,81
211,General Roca,-39.0333,62.6,55,2.64,100
212,Sawākin,19.1059,83.59,59,8.39,0
213,Teya,60.3778,33.46,88,4.74,99
214,Ilulissat,69.2167,39.2,56,4.61,20
215,Chiredzi,-21.05,66.33,46,4.76,0
216,Fairbanks,64.8378,53.94,40,2.42,1
217,Minot,48.2325,72.48,22,4.61,1
218,Ugoofaaru,5.6667,84.25,76,30.36,100
219,Pitkyaranta,61.5734,48.81,80,4.7,100
220,Lagunas,-5.2269,81.61,85,3.04,57
221,Ribeira Grande,38.5167,66.2,94,13.8,75
222,Flinders,-34.5833,52.74,63,5.99,100
223,Kargopol',61.5071,57.49,66,7.76,100
224,Luanda,-8.8368,80.6,78,5.75,20
225,Conde,-7.2597,78.8,89,5.75,75
226,Monforte de Lemos,42.5216,56.44,80,5.01,100
227,Yerbogachën,61.2767,45.25,46,8.97,99
228,Neftekumsk,44.6667,65.05,48,9.17,0
229,Tatarsk,55.219,53.69,44,8.1,16
230,Iqaluit,63.7506,32.0,64,6.91,75
231,Marabu,4.4148,80.33,89,3.44,40
232,Chimbote,-9.0853,70.09,73,9.44,51
233,Nemuro,43.3236,39.02,96,8.61,100
234,Emirdağ,39.0197,61.92,41,6.46,0
235,Vila Velha,-20.3297,75.42,60,12.66,0
236,Myitkyina,25.3833,68.11,97,3.69,95
237,Chamalières,45.7756,59.0,47,6.91,90
238,Yar-Sale,66.8333,31.86,75,11.01,100
239,Cockburn Town,21.4612,79.79,76,13.31,0
240,Tayu,-6.5397,78.69,87,7.56,100
241,Show Low,34.2542,77.11,11,16.11,20
242,Tucumcari,35.1717,84.2,26,14.97,1
243,Severomuysk,56.1481,22.14,78,1.79,2
244,San Quintín,30.4833,65.75,61,12.73,0
245,Port Alfred,-33.5906,72.7,45,8.05,75
246,Hamilton,39.1834,68.74,30,4.61,20
247,Nara,34.6851,65.41,79,2.55,100
248,Ullal,12.8,78.8,83,10.36,75
249,Labuhan,-6.8844,77.45,84,7.31,87
250,Manado,1.487,77.0,94,3.11,20
251,Kibara,-2.15,73.4,83,6.08,40
252,Buritis,-15.6178,86.16,27,4.41,10
253,Ternate,0.8,81.48,80,5.75,100
254,Rio Grande,-32.035,70.27,40,4.61,0
255,Lavrentiya,65.5833,34.57,86,8.16,53
256,Majene,-3.5403,78.55,90,10.6,95
257,Spassk,52.747,43.97,82,0.83,100
258,Eyl,7.9803,83.59,78,23.31,1
259,Scunthorpe,53.579,50.9,87,6.91,90
260,Brejo Santo,-7.4933,83.73,50,5.82,100
261,Assiut,27.181,87.8,29,14.97,0
262,Valdivia,-39.8142,59.0,82,4.61,90
263,Tezu,27.9167,67.51,89,2.86,97
264,Barreirinhas,-2.7469,80.71,86,5.26,100
265,Broome,42.2506,65.64,29,12.66,90
266,Camocim,-2.9022,77.04,88,16.26,100
267,Kushiro,42.975,42.13,91,2.86,26
268,Richards Bay,-28.783,67.82,81,10.02,0
269,George Town,5.4112,79.25,89,6.91,40
270,Jovellar,13.0695,78.51,87,7.16,13
271,Shimanovsk,52.0,40.8,93,10.47,100
272,Zhuanghe,39.7008,58.15,87,3.69,17
273,Kumul,42.8,66.99,21,6.13,100
274,Saint-Philippe,-21.3585,71.69,78,4.61,0
275,Nova Olímpia,-14.7972,87.55,41,0.22,91
276,Tuatapere,-46.1333,48.0,86,18.99,100
277,Parkland,47.1554,68.13,48,10.36,1
278,Beisfjord,68.3751,38.01,61,11.5,75
279,Belyy Yar,53.6039,42.8,87,3.67,100
280,Bac Lieu,9.285,83.91,72,4.05,100
281,Naryan-Mar,67.6713,36.03,84,13.71,100
282,Dingle,10.9995,77.43,90,4.97,80
283,Ampanihy,-24.7,68.83,72,6.35,0
284,Wanning,18.8003,81.82,87,11.79,31
285,Jalu,29.0331,89.67,14,10.54,4
286,Tiznit Province,29.5833,77.05,33,1.77,4
287,Kiryat Gat,31.61,67.93,100,5.61,0
288,‘Āhuimanu,21.4447,75.27,73,9.22,75
289,At-Bashi,41.1702,44.67,51,6.31,99
290,Abancay,-13.6339,59.0,58,9.22,40
291,Biak,-0.9131,77.0,83,7.2,56
292,Rassvet,46.8333,70.74,81,2.24,93
293,Takoradze,4.8845,81.72,78,8.52,8
294,Sumy,50.9216,57.34,87,6.76,100
295,Opuwo,-18.0607,66.45,32,4.18,2
296,Montrose,38.4166,75.99,12,5.01,48
297,Magdagachi,53.45,41.7,90,10.87,100
298,Kjøllefjord,70.9457,35.6,75,5.75,75
299,Agua Verde,22.9,89.55,45,9.22,1
300,Olinda,-8.0089,78.8,78,6.91,75
301,Lüderitz,-26.6481,66.63,53,1.86,0
302,Meulaboh,4.1363,76.62,89,2.53,97
303,Lompoc,34.6391,54.21,82,10.27,2
304,Inírida,3.8653,83.79,78,2.06,69
305,Aranos,-24.1333,66.97,18,8.41,0
306,Hay River,60.8156,33.8,100,4.61,100
307,Yining,29.0361,74.12,94,3.31,7
308,Royan,45.6285,56.26,67,10.36,90
309,Omsukchan,62.5333,20.34,92,4.09,94
310,Hambantota,6.1241,80.64,77,12.53,100
311,Benguela,-12.5763,79.11,77,3.49,0
312,Ōfunato,39.0717,54.07,70,4.18,5
313,Brae,60.3964,46.4,87,13.8,75
314,Andradas,-22.0681,69.8,52,3.69,20
315,Pakxan,18.3778,76.44,89,3.29,17
316,Petropavlovsk-Kamchatskiy,53.0452,33.8,69,6.71,0
317,Trois-Rivières,46.3501,69.55,30,4.61,86
318,La Ronge,55.1001,50.9,54,12.66,75
319,Landau,49.2075,53.02,86,4.0,74
320,Lagos,6.5833,84.2,79,10.36,20
321,Waynesville,35.4887,57.4,50,1.01,90
322,Sandnessjøen,66.0217,54.84,62,6.91,0
323,Manuk Mangkaw,4.8,84.27,73,8.77,71
324,Buala,-8.145,80.1,82,3.04,16
325,Itarema,-2.9248,78.1,90,12.71,100
326,‘Ewa Beach,21.3156,75.97,65,11.5,1
327,Arman',59.7,31.98,91,4.85,87
328,Hualmay,-11.0964,70.36,70,9.24,13
329,Morant Bay,17.8815,84.87,70,16.11,75
330,Morros,-9.4467,87.55,37,4.52,23
331,Sibolga,1.7427,78.01,84,2.19,90
332,Tornio,65.8481,51.8,62,11.5,0
333,Avera,33.194,72.27,31,8.05,40
334,Sharlyk,52.9167,67.33,46,4.52,0
335,Waipawa,-41.4122,57.94,94,25.32,90
336,Alice Springs,-23.7,48.2,81,1.14,0
337,Ocean City,39.2776,67.41,20,11.5,1
338,Lakhdenpokh'ya,61.5198,48.99,88,3.71,93
339,Dikson,73.5069,21.97,73,15.77,100
340,Lata,40.1629,62.89,72,6.91,20
341,Bandar,2.05,73.47,94,2.42,65
342,Piaçabuçu,-10.4056,78.39,82,9.86,95
343,Buraidah,26.326,93.2,18,6.91,0
344,Manatí,18.4275,83.77,79,5.99,56
345,Ufimskiy,56.7084,63.54,53,4.68,2
346,Ekhabi,53.5102,32.68,98,11.61,93
347,Balkhash,46.844,59.04,54,12.15,6
348,Nuuk,64.1835,39.09,70,9.22,75
349,Isla Vista,34.4133,59.7,82,6.91,90
350,Rochester,43.1548,65.79,28,3.44,20
351,Lidköping,58.5052,54.5,67,13.8,75
352,Brownwood,31.7093,76.8,57,9.22,75
353,Chui,-33.6971,63.99,50,4.34,3
354,Taupo,-38.6833,51.01,80,1.01,100
355,Jaciara,-15.9653,90.57,29,2.46,75
356,Burgeo,47.6167,46.45,66,14.05,99
357,Libres,19.4667,63.23,63,7.65,93
358,Nago,26.5881,78.8,83,4.61,75
359,Boa Vista,2.8197,82.4,69,12.66,90
360,Shingū,33.7333,64.99,90,1.7,100
361,Hakkâri Province,37.5833,50.18,77,5.41,5
362,Praia da Vitória,38.7333,71.53,68,13.8,20
363,Cangzhou,38.3167,63.97,89,4.72,54
364,Tsurib,42.2368,54.52,77,8.75,80
365,Inuvik,68.3499,39.2,65,8.05,93
366,Shunyi,40.125,66.07,82,4.47,100
367,Opunake,-39.4556,57.0,97,1.99,45
368,Weligama,5.9667,78.98,85,10.89,99
369,Guerrero Negro,27.9769,68.97,56,14.85,0
370,Breyten,-26.3018,51.75,23,3.09,0
371,Vuktyl,63.8567,59.11,84,4.54,87
372,Pailón,-17.65,80.24,46,5.26,43
373,Harrisonburg,38.4496,66.4,25,1.57,90
374,Stromness,58.965,46.4,81,3.44,90
375,Kunshan,31.3776,74.59,94,4.47,0
376,Nakonde,-9.3421,56.64,91,6.13,29
377,Buchanan,5.8808,84.2,79,10.36,75
378,Felanitx,39.4696,68.0,49,6.91,20
379,Tiksi,71.6872,30.94,96,6.35,100
380,Port-Cartier,50.0334,55.62,28,12.66,75
381,Grand Gaube,-20.0064,75.99,75,4.0,9
382,Ol'ga,43.7444,50.76,78,5.95,100
383,Aksha,50.2814,36.63,68,4.92,6
384,Bosaso,11.2842,89.69,54,3.27,47
385,Canmore,51.0834,52.9,30,4.61,81
386,Norman Wells,65.282,42.8,61,18.41,75
387,Paranavaí,-23.0731,75.2,53,1.14,20
388,Tawang Town,27.5833,46.04,94,0.58,100
389,Malanje,-9.5402,63.99,74,2.53,1
390,Aklavik,68.2191,39.2,70,8.05,75
391,Leer,8.3018,76.14,84,4.18,100
392,Half Moon Bay,37.4636,58.98,93,9.22,90
393,Mariehamn,60.0973,53.6,76,5.75,20
394,Havelock,34.8791,70.36,35,13.8,40
395,Sinnamary,5.3833,80.02,84,11.65,99
396,Ignatovka,53.9479,66.02,71,6.85,100
397,Caucayá,-0.1934,79.84,89,1.95,95
398,Novokayakent,42.3937,59.0,88,11.18,100
399,Kaduqli,11.0167,84.2,48,6.26,69
400,Ondjiva,-17.0667,67.59,31,7.38,4
401,Porbandar,21.6422,83.3,77,12.55,58
402,Ambilobe,-13.2,72.54,84,3.24,88
403,Saint Paul Harbor,57.79,42.8,87,9.22,90
404,Dire Dawa,9.5931,77.04,41,4.65,13
405,Sayyan,15.1718,70.05,31,6.46,78
406,Nador,35.174,72.39,43,5.75,20
407,Singkang,2.1006,80.31,94,2.3,20
408,Skjervøy,70.0311,41.0,60,16.11,75
409,Baykit,61.67,33.17,92,5.53,93
410,Benavente,42.0025,59.0,58,16.11,0
411,Port Moresby,-9.4431,76.35,89,3.49,100
412,Pangnirtung,66.1451,32.0,93,8.05,90
413,Madang,-5.2246,76.84,90,2.57,21
414,Gijang,35.2442,68.0,73,3.44,75
415,Pozo Colorado,-23.4923,78.21,50,2.89,19
416,São José da Coroa Grande,-8.8978,78.76,82,10.22,99
417,Ossora,59.2353,31.26,87,0.76,80
418,Farafangana,-22.8167,71.65,83,1.63,2
419,Keelung,25.1283,79.38,94,3.44,20
420,Kysyl-Syr,63.8986,42.28,57,3.8,23
421,Chokwé,-24.5333,69.49,49,5.99,0
422,Pasvalys,56.0594,53.6,82,6.91,0
423,Muriti,-1.9833,73.4,83,8.48,40
424,Nadym,65.5333,34.0,76,16.53,100
425,Aracaju,-10.9111,73.4,94,5.75,75
426,Namtsy,62.7161,30.2,59,4.47,0
427,Acarí,-15.4311,78.82,51,9.37,0
428,Cidreira,-30.1811,62.76,60,4.94,95
429,Beloha,-25.1667,68.74,88,8.3,0
430,Saint-Lô,49.1162,54.82,76,3.44,75
431,Saint-François,46.4154,54.34,62,5.75,0
432,Big Spring,32.2504,75.2,57,13.8,40
433,Esim,4.8699,81.46,80,7.09,5
434,Saint-André-Avellin,45.7168,72.81,19,10.36,40
435,Erzin,36.9559,70.0,72,2.35,29
436,Tual,-5.6667,83.34,77,19.37,32
437,Kamariótissa,40.4833,65.59,63,3.44,0
438,Indianola,41.3581,62.53,42,9.22,90
439,The Valley,18.217,84.42,74,12.66,40
440,Oktyabr'skiy,54.4815,65.93,52,5.91,96
441,Manakara,-22.1333,70.92,88,1.39,0
442,Lyngseidet,69.5763,42.96,60,16.11,75
443,Seshcha,53.7361,55.33,92,6.58,79
444,Pevek,69.7008,17.35,93,3.36,35
445,Beyneu,45.3167,76.44,28,12.08,0
446,Suicheng,33.8963,66.33,98,3.76,100
447,Acapulco de Juárez,16.8634,87.8,70,9.22,40
448,Cap Malheureux,-19.9842,75.99,75,4.0,6
449,Bereda,43.2686,57.65,85,11.01,100
450,Bariloche,-41.1456,59.0,51,18.41,40
451,Kloulklubed,7.0419,80.6,89,9.22,75
452,Hearst,49.6835,71.6,23,10.36,100
453,San Nicolás Guadalupe,19.6125,76.48,37,6.91,75
454,Beringovskiy,63.05,32.31,97,12.97,100
455,Mareeba,-17.0,67.73,83,11.5,7
456,Marystown,47.1666,45.99,69,13.11,83
457,Coyhaique,-45.5752,41.0,93,8.05,90
458,Sitka,57.0531,48.2,87,11.5,90
459,Guánica,17.9716,81.68,74,13.0,16
460,Leh,34.1667,40.55,54,6.06,86
461,Kieta,-6.2167,79.56,84,3.74,6
462,Vilhena,-12.7406,80.6,61,6.91,40
463,Mingora,34.7758,64.45,69,5.57,0
464,Alenquer,-1.9417,80.6,83,3.44,75
465,Murgab,37.4966,71.6,43,6.91,0
466,Viçosa,-20.7539,67.19,73,4.79,85
467,Frolovo,49.7713,71.47,42,16.4,77
468,Luau,-10.7073,65.68,58,1.07,0
469,Moose Jaw,50.4001,70.7,17,5.75,27
470,Ellicott City,39.2673,69.26,27,4.0,97
471,Gurupi,-11.7292,89.96,33,3.29,87
472,Kansk,56.2017,38.91,78,11.45,71
473,Manzhouli,49.6,41.16,79,17.25,11
474,College,64.8569,53.94,47,3.44,20
475,Botwood,49.1499,48.99,78,6.76,100
476,Korla,41.7597,58.69,46,3.56,84
477,Nicoya,10.1483,91.4,49,20.71,20
478,Scarborough,54.2797,46.94,83,2.71,32
479,Cherskiy,68.75,25.07,89,0.4,58
480,Foça,38.6703,67.1,64,5.75,0
481,Nānākuli,21.3906,74.26,65,11.5,1
482,Vancouver,49.2497,64.04,77,12.66,20
483,Mufumbwe,-13.6833,61.41,59,3.98,0
484,Khasan,42.4308,48.22,96,1.7,11
485,Bukowno,50.2647,53.29,86,3.0,100
486,Porto-Novo,6.4965,84.2,79,10.36,40
487,Prince Rupert,54.3161,47.66,76,4.61,90
488,Rajpur,22.3,89.49,24,5.26,80
489,Istanbul,41.0351,67.05,72,4.61,0
490,Parabel',58.6978,53.26,63,14.29,16
491,Tevaitoa,-16.7833,81.0,78,18.01,100
492,Hampton,37.0299,70.72,23,8.05,40
493,Simão Dias,-10.7383,77.2,72,13.24,78
494,Halifax,44.6453,59.16,48,12.66,40
495,Curuçá,-0.7289,76.98,94,3.58,100
496,São Filipe,14.8961,77.36,61,7.38,100
497,Severo-Kuril'sk,50.6789,38.16,68,5.73,0
498,Panjāb,34.388,48.83,50,5.28,0
499,Ambovombe,-25.1667,69.73,85,8.63,0
500,Lufilufi,-13.8745,75.2,94,2.3,20
501,Karratha,-20.7377,73.56,39,9.57,0
502,Eureka,40.8021,52.23,86,5.01,100
503,Puerto Madryn,-42.7692,63.16,40,4.07,7
504,Aljezur,37.3191,62.56,80,11.01,20
505,Okha,53.5739,32.68,98,11.32,92
506,Stephenville,32.2207,74.5,53,8.05,40
507,Kitgum,3.2783,68.49,91,0.92,19
508,Nishihara,26.1842,78.8,94,10.36,40
509,Nauta,-4.5061,81.1,89,2.55,43
510,Tulun,54.5611,44.01,82,16.75,100
511,San Jerónimo,-11.9472,59.27,54,2.17,48
512,Miles City,46.4083,66.2,42,5.48,1
513,Tailai,46.3833,54.9,38,16.53,100
514,Siuna,13.7332,96.85,27,9.26,99
515,Bakal,54.9417,59.11,67,4.34,3
516,Pierre,44.3683,71.6,30,8.05,40
517,Port Lincoln,-34.7333,57.63,65,13.42,98
518,Kargasok,59.0556,55.35,66,15.19,21
519,Dewas,22.9667,77.0,25,3.44,0
520,Port Keats,-14.25,67.77,36,10.8,5
521,Bam,29.106,79.09,28,10.07,100
522,Byron Bay,-28.65,50.32,93,3.44,5
523,Murray Bridge,-35.1167,49.37,89,1.99,13
524,Salmās,38.1973,60.8,55,6.91,20
525,Foam Lake,51.65,64.4,34,4.61,49
526,Codrington,-38.2667,48.94,66,23.58,77
527,Jiménez,28.3333,78.8,41,11.36,75
528,Kitimat,54.0524,57.99,65,4.0,91
529,Wawa,9.9022,90.43,42,4.88,1
530,Gemeente Wageningen,51.9667,54.05,71,3.44,90
531,Domoni,-12.2569,79.34,74,9.71,98
532,Ko Samui,9.5357,85.42,69,5.95,100
533,Dunedin,-45.8742,51.01,63,35.01,100
534,Bubaque,11.2833,77.59,72,16.67,79
535,Kangaatsiaq,68.3065,34.7,80,4.97,93
536,Macusani,-14.0833,47.48,60,13.69,89
537,Northam,51.0333,49.68,94,7.09,100
538,Nam Som,17.7704,84.31,85,1.66,25
539,Kortkeros,61.8106,69.8,43,11.18,40
540,Iquique,-20.2208,66.2,68,14.97,0
541,Stepnoye,51.4,70.7,49,13.44,100
542,Husavik,66.0449,44.6,42,11.5,75
543,Trelew,-43.249,64.11,31,3.15,5
544,Margate,51.3813,51.15,68,1.01,19
545,Gamba,-2.65,79.03,87,5.7,5
546,Puerto Limón,10.0,86.0,74,8.05,75
